runway_trough_mo,current_runway_mo,dscr,debt_to_revenue,operating_margin,revenue_cv,predictability_cv,trend_pct,expense_rev_corr,months_negative,seasonality_strength,log_avg_revenue,has_receivables,dso_days,default_prob_true,default
1.012222,6.998578,12.0,0.0,0.203251,1.124804,0.030186,0.556791,1.0,0.0,0.999999,9.985576,0.0,0.0,0.11,0
1.738922,5.421583,12.0,0.0,0.132504,0.642954,0.076778,33.972746,1.0,0.0,0.996374,11.734264,0.0,0.0,0.0632,0
4.448739,28.480176,12.0,0.0,0.525039,0.616164,0.06904,-0.248758,1.0,0.0,0.999921,11.420493,0.0,0.0,0.0247,0
1.253098,5.384237,1.76475,0.13342,0.235453,0.320954,0.344722,19.761099,-0.434437,0.0,0.993577,10.882314,1.0,55.785714,0.0558,1
1.536505,7.390416,12.0,0.0,0.183027,0.733156,0.043399,-18.566564,1.0,0.0,0.990865,11.036926,0.0,0.0,0.2159,1
3.480134,12.396995,12.0,0.0,0.287757,0.592716,0.042575,12.60666,1.0,0.0,0.999847,11.826186,0.0,0.0,0.0235,0
2.452331,4.647183,2.084413,0.082938,0.172876,0.05859,0.036412,-8.905679,1.0,0.0,0.628036,10.49183,0.0,0.0,0.0597,0
4.633893,6.07336,1.466262,0.137618,0.201784,0.140746,0.041862,-21.303503,1.0,0.0,0.889068,10.739978,0.0,0.0,0.1836,0
1.485117,9.950857,2.73172,0.15166,0.414293,1.090818,0.054027,25.754599,1.0,0.0,0.998014,11.181101,0.0,0.0,0.049,0
3.948599,10.017605,12.0,0.0,0.204246,1.102639,0.023073,2.358446,1.0,0.0,0.999951,10.223499,0.0,0.0,0.0234,0
-1.458982,-1.458982,-0.572568,0.124257,-0.071145,0.759144,0.117053,-22.328421,1.0,10.0,0.982455,9.638313,0.0,0.0,0.41,1
1.767164,9.278707,12.0,0.0,0.24319,0.319095,0.095239,11.436242,1.0,0.0,0.995017,11.081336,0.0,0.0,0.0274,0
1.541672,1.656193,12.0,0.0,-0.020633,0.726872,0.691999,-5.877328,1.0,0.0,0.93596,10.607033,0.0,0.0,0.9056,1
4.678308,9.297662,12.0,0.0,0.170672,0.136214,0.059862,-21.811988,1.0,0.0,0.778635,10.464898,0.0,0.0,0.1811,0
2.621193,8.275198,10.494967,0.019496,0.204605,0.855228,0.932023,-2.935808,1.0,0.0,0.905872,11.673177,0.0,0.0,0.3405,1
-0.870533,-0.600665,12.0,0.0,-0.048762,0.622134,0.033604,-16.763708,1.0,8.0,0.998718,9.881056,0.0,0.0,0.9444,1
4.437788,10.031437,12.0,0.0,0.226705,0.665566,0.510634,-65.580274,1.0,0.0,0.859296,10.929667,0.0,0.0,0.4597,1
0.407558,6.751209,12.0,0.0,0.216109,0.302632,0.0517,-5.54917,1.0,0.0,0.991814,10.399874,0.0,0.0,0.6186,0
2.033582,6.88416,4.69582,0.045792,0.215029,1.08069,0.06335,20.714626,1.0,0.0,0.998921,10.693031,0.0,0.0,0.0257,0
1.763229,4.553266,12.0,0.0,0.103752,0.290275,0.076591,14.078949,1.0,0.0,0.995473,11.075796,0.0,0.0,0.0578,0
2.067899,15.609106,12.0,0.0,0.382007,0.609608,0.057147,33.119307,1.0,0.0,0.992784,9.875943,0.0,0.0,0.0792,0
-5.593461,-5.593461,-1.057135,0.166703,-0.176228,1.107672,0.042733,-10.729968,1.0,18.0,0.99913,10.500491,0.0,0.0,0.7787,1
3.373364,13.095752,3.398259,0.129146,0.438873,0.599635,0.043291,29.613087,1.0,0.0,0.996676,10.898483,0.0,0.0,0.0235,0
1.523241,16.357666,12.0,0.0,0.39176,0.334156,0.056975,-13.039523,1.0,0.0,0.995891,9.905906,0.0,0.0,0.7163,1
1.349118,9.706457,12.0,0.0,0.261228,0.336328,0.108557,29.469016,1.0,0.0,0.99207,10.982542,0.0,0.0,0.0374,0
4.843881,10.010565,12.0,0.0,0.17744,1.092697,0.067004,22.961388,1.0,0.0,0.998605,10.907591,0.0,0.0,0.024,0
4.028321,6.064001,1.884405,0.119173,0.22457,0.630209,0.027924,-21.976162,1.0,0.0,0.997907,11.566958,0.0,0.0,0.1124,0
1.290774,1.290774,12.0,0.0,-0.044797,1.082814,0.040566,11.203712,1.0,0.0,0.999663,11.104858,0.0,0.0,0.0264,0
1.398411,1.398411,12.0,0.0,-0.060579,0.134247,0.031386,-23.402729,1.0,0.0,0.999628,11.726594,0.0,0.0,0.3375,0
-1.260918,-1.011488,-0.093407,0.094573,-0.008834,0.595948,0.020116,-2.78099,1.0,9.0,0.999995,11.239156,0.0,0.0,0.2817,0
2.132469,8.8256,4.015804,0.058006,0.232942,0.449336,0.522105,23.24104,0.252509,0.0,0.710874,10.534604,1.0,54.672,0.0219,0
4.145307,5.336395,12.0,0.0,0.050624,0.051354,0.034121,-5.995107,1.0,0.0,0.532628,10.362494,0.0,0.0,0.0879,0
3.102969,10.257054,12.0,0.0,0.235869,0.298648,0.025961,-1.868795,1.0,0.0,0.999931,10.605447,0.0,0.0,0.0237,0
2.312179,7.34133,12.0,0.0,0.174728,0.33149,0.057426,25.716179,1.0,0.0,0.998606,11.124628,0.0,0.0,0.0427,0
0.576587,4.545693,12.0,0.0,0.147375,0.063467,0.060356,4.270557,1.0,0.0,0.298202,9.816797,0.0,0.0,0.1952,0
3.124057,6.629374,1.905378,0.153653,0.292767,0.595959,0.054086,10.511413,1.0,0.0,0.999598,10.556236,0.0,0.0,0.0233,0
2.442398,9.175236,12.0,0.0,0.224847,0.287723,0.046393,6.502488,1.0,0.0,0.999336,11.026253,0.0,0.0,0.0259,0
2.715532,3.923818,1.244484,0.119249,0.148403,0.608386,0.075513,14.904821,1.0,0.0,0.999359,11.14417,0.0,0.0,0.0526,0
1.050741,4.186448,3.623956,0.043886,0.15904,0.61036,0.775282,-6.874132,1.0,0.0,0.772741,10.872268,0.0,0.0,0.9599,0
0.706919,2.830853,12.0,0.0,0.059893,1.123879,0.047715,33.802587,1.0,0.0,0.996823,10.26207,0.0,0.0,0.0449,0
0.617143,2.623619,1.743961,0.108626,0.18944,0.024176,0.023355,-1.2116,1.0,0.0,0.949007,11.272037,0.0,0.0,0.158,0
1.617759,1.617759,12.0,0.0,-0.119674,0.367843,0.081943,-22.288886,1.0,0.0,0.993746,10.553976,0.0,0.0,0.4764,0
-2.190811,-2.190811,0.161367,0.160199,0.025851,1.146129,0.086763,17.373835,1.0,13.0,0.999039,10.78363,0.0,0.0,0.1288,0
1.111673,13.937684,12.0,0.0,0.357684,0.04473,0.048233,5.109822,1.0,0.0,0.94961,10.799612,0.0,0.0,0.1141,0
1.459659,11.193297,3.534392,0.115811,0.409321,0.147168,0.050032,23.279167,1.0,0.0,0.975994,11.611089,0.0,0.0,0.0315,0
0.233469,12.255557,6.862573,0.051284,0.351943,0.475165,0.47601,40.663843,0.327872,0.0,0.923591,11.200375,1.0,55.664122,0.0224,0
0.431833,2.74387,4.822667,0.023368,0.112694,0.061961,0.044539,7.739478,1.0,0.0,0.741807,11.788706,0.0,0.0,0.2373,0
0.184941,0.264985,0.9028,0.239283,0.216025,0.689055,0.053577,-40.900634,1.0,0.0,0.989914,9.872005,0.0,0.0,0.9952,1
2.436631,2.436631,12.0,0.0,-0.030509,0.250437,0.051077,-43.390422,1.0,0.0,0.894239,10.264598,0.0,0.0,0.5589,1
3.125648,22.225576,12.0,0.0,0.45347,0.353559,0.091256,-23.877094,1.0,0.0,0.992997,10.62764,0.0,0.0,0.1492,0
4.295928,14.160628,12.0,0.0,0.298426,1.152606,0.050908,-3.849298,1.0,0.0,0.999959,10.253249,0.0,0.0,0.0392,0
1.641513,11.819305,4.380568,0.089206,0.390775,0.153714,0.045249,26.640365,1.0,0.0,0.975011,11.557468,0.0,0.0,0.027,0
1.157449,13.544469,12.0,0.0,0.344246,0.348605,0.063059,21.83677,1.0,0.0,0.994653,10.671569,0.0,0.0,0.0558,0
1.996319,3.592371,1.532808,0.122319,0.187491,0.040679,0.037362,-3.100568,1.0,0.0,0.794082,10.802917,0.0,0.0,0.0358,0
1.880554,11.379072,4.648509,0.079916,0.371491,0.65585,0.599101,19.166874,1.0,0.0,0.946837,10.319362,0.0,0.0,0.2345,0
4.03436,6.21949,1.638462,0.182278,0.298656,0.605914,0.047423,-18.088165,1.0,0.0,0.999114,10.135634,0.0,0.0,0.0981,0
0.752481,0.752481,0.452705,0.136286,0.061697,0.090172,0.060586,-11.146747,1.0,0.0,0.972025,11.159976,0.0,0.0,0.2115,0
0.085778,1.711039,1.99462,0.063464,0.126587,0.090745,0.051692,12.414857,1.0,0.0,0.931129,10.988193,0.0,0.0,0.4769,0
3.885733,5.811796,12.0,0.0,0.110221,0.620448,0.104004,-17.951955,1.0,0.0,0.998384,11.484805,0.0,0.0,0.1042,0
2.305835,6.957633,3.712942,0.061995,0.230183,0.095942,0.121578,-7.059559,1.0,0.0,0.922864,11.256642,0.0,0.0,0.0444,0
3.21877,4.991259,2.178028,0.057293,0.124785,1.081097,0.06512,-8.575033,1.0,0.0,0.999648,9.735537,0.0,0.0,0.064,0
0.521877,8.383814,7.166121,0.040123,0.287524,0.769606,0.819011,57.778676,1.0,0.0,0.581574,11.534415,0.0,0.0,0.523,1
2.191993,14.37577,6.330097,0.064508,0.408341,0.071133,0.030459,11.705546,1.0,0.0,0.744838,11.620908,0.0,0.0,0.022,0
4.404106,8.801756,1.771517,0.214022,0.379143,0.381206,0.033084,-33.280832,1.0,0.0,0.986607,10.988013,0.0,0.0,0.3025,1
2.411308,20.031321,4.773573,0.11439,0.546048,0.090032,0.01808,15.199903,1.0,0.0,0.928711,10.870157,0.0,0.0,0.0218,0
1.821872,10.53768,5.250758,0.066167,0.347427,0.173512,0.061453,-26.721885,1.0,0.0,0.537641,9.889613,0.0,0.0,0.8701,1
3.545683,5.216924,1.547144,0.123212,0.190627,0.096262,0.089831,12.342869,1.0,0.0,0.884166,11.459134,0.0,0.0,0.0424,0
2.091887,2.457928,12.0,0.0,0.017833,0.33227,0.038245,-20.919433,1.0,0.0,0.997308,10.489788,0.0,0.0,0.1946,1
4.322447,15.138824,12.0,0.028237,0.366666,0.615393,0.031117,-19.462215,1.0,0.0,0.998048,10.055709,0.0,0.0,0.0769,0
-1.236284,-1.236284,-0.394841,0.075036,-0.029627,0.065019,0.064013,-2.434026,1.0,13.0,0.937252,11.546341,0.0,0.0,0.7634,1
0.193726,3.543423,12.0,0.0,0.121421,1.071135,0.020182,27.237696,1.0,0.0,0.997995,10.868639,0.0,0.0,0.1889,0
-0.346868,8.694468,12.0,0.0,0.237102,0.449914,0.411262,18.171244,0.21607,2.0,0.976475,10.95032,1.0,55.544118,0.0457,0
2.262611,2.262611,0.411165,0.043384,0.017838,0.043264,0.05441,-1.357991,1.0,0.0,0.856639,11.013599,0.0,0.0,0.1882,0
1.239096,9.13692,12.0,0.0,0.238803,0.742857,0.042183,-3.367099,1.0,0.0,0.9993,10.25244,0.0,0.0,0.0546,0
2.59048,23.126221,12.0,0.0,0.471432,0.073889,0.04028,-9.219683,1.0,0.0,0.723289,11.114455,0.0,0.0,0.0956,0
3.262002,7.3038,12.0,0.0,0.153473,0.365846,0.064979,-25.30015,1.0,0.0,0.9958,11.486023,0.0,0.0,0.2132,1
3.710941,4.03737,12.0,0.0,0.007853,1.086086,0.052163,0.541395,1.0,0.0,0.999992,10.15351,0.0,0.0,0.0255,0
1.067862,14.056652,12.0,0.0,0.355666,1.121907,0.057063,1.008386,1.0,0.0,0.999996,10.86369,0.0,0.0,0.1283,0
2.705543,14.915111,9.409885,0.040701,0.382996,0.179243,0.02643,30.542125,1.0,0.0,0.720976,11.209662,0.0,0.0,0.0217,0
2.524206,7.488229,12.0,0.0,0.178528,0.073949,0.070766,-9.975039,1.0,0.0,0.670675,9.826461,0.0,0.0,0.0598,0
2.911013,20.143816,12.0,0.0,0.415109,0.718958,0.025927,1.900835,1.0,0.0,0.999648,10.728688,0.0,0.0,0.0221,1
2.925855,10.357839,3.169848,0.11992,0.380129,0.652248,0.825383,-29.731141,1.0,0.0,0.825779,11.090854,0.0,0.0,0.2991,0
0.823569,5.641512,4.465754,0.050466,0.225368,0.734672,0.912654,-5.877369,1.0,0.0,0.790131,10.965917,0.0,0.0,0.5838,1
-1.965146,-1.965146,0.152572,0.165166,0.0252,0.752133,0.084482,-24.97046,1.0,15.0,0.961998,10.430824,0.0,0.0,0.9663,1
0.563183,16.529873,12.0,0.0,0.386082,0.421024,0.433556,43.946216,0.318277,0.0,0.828941,12.289366,1.0,52.811594,0.0239,0
-0.159406,-0.158556,0.124341,0.050589,0.00629,0.058326,0.038841,8.94844,1.0,7.0,0.972929,10.816725,0.0,0.0,0.7159,1
0.796587,9.00827,6.557069,0.047933,0.314297,0.118277,0.080848,-15.713386,1.0,0.0,0.999348,10.797459,0.0,0.0,0.9628,1
2.831448,18.473107,12.0,0.0,0.403765,0.044153,0.057022,4.346398,1.0,0.0,0.923189,11.104002,0.0,0.0,0.024,0
0.438124,0.438124,0.895372,0.180454,0.161573,0.169097,0.057623,-27.609799,1.0,0.0,0.947725,9.85633,0.0,0.0,0.9703,1
2.084456,13.694431,12.0,0.0,0.321968,0.726306,0.034571,-10.817213,1.0,0.0,0.998316,10.977046,0.0,0.0,0.0815,0
2.038654,7.302503,3.338624,0.078983,0.263695,0.279149,0.060563,0.139843,1.0,0.0,0.999724,10.64345,0.0,0.0,0.0269,0
4.807968,13.445388,12.0,0.0,0.289403,0.624123,0.049942,-11.446046,1.0,0.0,0.999421,10.854837,0.0,0.0,0.0776,0
3.201005,3.840802,12.0,0.0,0.02366,0.090263,0.085503,10.329197,1.0,0.0,0.963643,11.356049,0.0,0.0,0.1116,0
2.080712,7.768805,12.0,0.0,0.223504,0.608888,0.010572,-12.532919,1.0,0.0,0.999369,10.369806,0.0,0.0,0.4205,0
0.315079,12.584297,12.0,0.0,0.337666,0.743789,0.124643,0.726226,1.0,0.0,0.980515,11.311978,0.0,0.0,0.193,1
2.463981,3.115079,1.28968,0.07698,0.09928,1.104502,0.019303,8.179748,1.0,0.0,0.999821,10.942324,0.0,0.0,0.0221,0
0.649741,14.253289,12.0,0.0,0.369908,0.317621,0.101715,5.16306,1.0,0.0,0.99532,11.353784,0.0,0.0,0.2209,1
-1.236754,3.610851,1.926765,0.118556,0.228429,0.395235,0.428718,17.258434,-0.169375,6.0,0.944704,11.634478,1.0,55.19084,0.162,0
0.676954,5.771503,3.294665,0.078099,0.257309,0.06016,0.063102,6.190746,1.0,0.0,0.475715,11.428874,0.0,0.0,0.1243,1
4.674725,9.60406,3.074186,0.092165,0.283334,0.605472,0.092552,14.620312,1.0,0.0,0.999316,10.880146,0.0,0.0,0.0263,0
-0.580948,-0.580948,0.165049,0.289895,0.047847,1.162049,0.072578,-24.398102,1.0,2.0,0.997109,11.029948,0.0,0.0,0.1404,0
4.203244,6.076149,1.595455,0.129122,0.206009,0.056642,0.032141,-7.876615,1.0,0.0,0.957309,11.049398,0.0,0.0,0.049,0
-2.77059,-2.77059,0.003437,0.180079,0.000619,1.105243,0.039308,-10.691407,1.0,13.0,0.999543,10.47852,0.0,0.0,0.5589,0
1.601819,7.369061,12.0,0.0,0.216079,0.591998,0.013969,12.044498,1.0,0.0,0.999323,11.566993,0.0,0.0,0.0845,0
1.593812,12.878436,5.830013,0.067622,0.394236,0.288298,0.060722,8.266661,1.0,0.0,0.997576,10.804781,0.0,0.0,0.0427,0
4.716528,14.845729,12.0,0.0,0.300268,1.078088,0.044814,33.406294,1.0,0.0,0.997012,10.340894,0.0,0.0,0.0238,0
1.802057,11.65778,12.0,0.0,0.299979,0.026663,0.025461,-1.24984,1.0,0.0,0.918474,11.054984,0.0,0.0,0.047,0
3.982083,25.725577,12.0,0.0,0.486537,0.345792,0.046437,-19.128816,1.0,0.0,0.999781,10.697687,0.0,0.0,0.126,0
1.18176,2.734756,1.35123,0.176308,0.238233,0.599174,0.028852,1.505947,1.0,0.0,0.999962,9.870919,0.0,0.0,0.0608,0
2.541738,2.977943,0.188683,0.07802,0.014721,0.729206,0.02718,0.493001,1.0,0.0,0.998241,10.155744,0.0,0.0,0.0483,0
3.844373,5.089521,1.559034,0.096508,0.150459,0.0992,0.036425,-17.786054,1.0,0.0,0.757894,11.976547,0.0,0.0,0.0896,0
1.886195,5.544034,1.603722,0.161189,0.258501,0.731168,0.098844,11.110376,1.0,0.0,0.987455,9.568785,0.0,0.0,0.0267,0
0.761227,5.464697,12.0,0.0,0.143273,0.718768,0.093722,-13.114646,1.0,0.0,0.999003,11.281501,0.0,0.0,0.398,0
1.297215,10.583838,12.0,0.0,0.288608,0.056891,0.061975,-0.476364,1.0,0.0,0.980218,11.778104,0.0,0.0,0.0812,0
3.645771,4.419693,12.0,0.0,0.029841,0.680029,0.773965,-19.073939,1.0,0.0,0.913603,11.001944,0.0,0.0,0.5879,0
-0.903565,-0.092413,0.533957,0.120473,0.064327,0.436626,0.531312,24.887334,-0.370631,18.0,0.737009,10.948218,1.0,57.347826,0.3214,0
4.036614,24.496274,12.0,0.0,0.483232,0.826198,0.823233,-47.177883,1.0,0.0,0.652039,10.720659,0.0,0.0,0.7518,1
5.204079,12.407132,12.0,0.0,0.257259,0.639142,0.034246,-23.185191,1.0,0.0,0.998158,9.854351,0.0,0.0,0.1355,1
0.276859,2.019773,2.245748,0.052169,0.117158,1.09502,0.115629,16.172033,1.0,0.0,0.999015,10.081146,0.0,0.0,0.1954,1
2.018622,9.436788,3.66153,0.071742,0.262684,0.396301,0.498404,-4.092276,0.01785,0.0,0.835029,10.054953,1.0,54.644928,0.3254,1
1.775779,3.833411,1.302158,0.189107,0.246248,1.073994,0.071493,35.733257,1.0,0.0,0.997042,10.102485,0.0,0.0,0.0263,0
3.514006,6.524881,1.552871,0.214085,0.332446,0.173158,0.100983,-24.096831,1.0,0.0,0.962604,10.548828,0.0,0.0,0.2776,1
1.846529,5.728684,2.154751,0.124833,0.268983,0.030273,0.031566,-0.245672,1.0,0.0,0.753891,10.732525,0.0,0.0,0.0227,0
5.59239,22.465318,5.645506,0.094533,0.533689,0.593963,0.042129,10.522425,1.0,0.0,0.999457,10.845904,0.0,0.0,0.0231,0
-4.998637,-4.998637,-2.832183,0.089937,-0.254717,0.500331,0.593052,-11.005447,0.190939,24.0,0.790866,10.535736,1.0,56.205882,0.9979,1
0.419867,3.694238,1.660659,0.124161,0.206189,0.796634,0.861675,62.77362,1.0,0.0,0.772887,10.895857,0.0,0.0,0.3923,0
1.411024,3.647205,1.70305,0.073137,0.124556,0.80988,0.844398,-16.196641,1.0,0.0,0.89627,10.866887,0.0,0.0,0.526,1
1.407724,5.791868,12.0,0.0,0.160828,0.022682,0.01859,-2.780909,1.0,0.0,0.989717,10.531333,0.0,0.0,0.0499,0
2.196146,7.605549,2.500178,0.126486,0.316237,0.299787,0.056876,-4.528343,1.0,0.0,0.999837,9.628632,0.0,0.0,0.0464,0
1.735863,13.150142,2.589268,0.195853,0.507116,0.735474,0.026697,-14.220704,1.0,0.0,0.991901,11.054124,0.0,0.0,0.0957,0
5.244545,15.304789,12.0,0.0,0.321624,0.605478,0.053983,-9.703764,1.0,0.0,0.999399,10.146812,0.0,0.0,0.0534,0
-3.719669,-3.719669,-0.815374,0.116319,-0.094843,0.733161,0.078946,-7.987265,1.0,24.0,0.996139,10.588575,0.0,0.0,0.971,1
2.268173,2.268173,0.948483,0.232835,0.22084,1.131548,0.019248,-0.733109,1.0,0.0,0.999993,10.129821,0.0,0.0,0.027,0
5.258507,18.502626,4.480559,0.109667,0.491369,0.600145,0.048348,-0.837176,1.0,0.0,0.9996,10.383029,0.0,0.0,0.0265,0
0.552257,1.002923,0.747138,0.062173,0.046452,0.755746,0.02697,-27.5903,1.0,0.0,0.973477,10.07296,0.0,0.0,0.9453,1
4.659358,8.439745,12.0,0.0,0.163365,0.608898,0.081384,2.481833,1.0,0.0,0.999673,10.529621,0.0,0.0,0.0265,0
2.215985,14.923755,12.0,0.0,0.354143,0.094446,0.078611,11.740212,1.0,0.0,0.942965,11.016407,0.0,0.0,0.0259,0
-1.548228,-1.200951,0.508274,0.218511,0.111063,0.725096,0.084989,-3.704851,1.0,14.0,0.99124,10.672969,0.0,0.0,0.3659,0
2.303749,7.975295,2.84135,0.106011,0.301215,0.124045,0.042473,19.313853,1.0,0.0,0.951033,10.571866,0.0,0.0,0.0255,0
4.161286,12.320162,12.0,0.0,0.273724,0.596374,0.070091,15.318712,1.0,0.0,0.998276,10.49924,0.0,0.0,0.0275,0
3.660606,7.433312,12.0,0.0,0.126367,0.824485,0.574503,-55.866934,1.0,0.0,0.951772,9.918798,0.0,0.0,0.8656,1
1.054457,21.194309,12.0,0.021286,0.482273,0.361819,0.027443,39.463461,1.0,0.0,0.995297,11.372735,0.0,0.0,0.0682,0
4.549594,8.636507,12.0,0.0,0.150846,0.312094,0.060729,-12.187882,1.0,0.0,0.995954,10.80274,0.0,0.0,0.0842,0
0.488287,4.353685,12.0,0.0,0.145091,0.050363,0.052028,-2.739565,1.0,0.0,0.947956,10.685157,0.0,0.0,0.3098,0
0.731089,0.731089,0.999773,0.031001,0.030994,0.169185,0.04866,-28.409349,1.0,0.0,0.953914,10.968955,0.0,0.0,0.9856,1
1.369897,6.070034,12.0,0.0,0.196562,0.625196,0.019719,-17.180538,1.0,0.0,0.998405,11.682503,0.0,0.0,0.9319,1
-4.219301,-4.219301,-0.770882,0.189283,-0.145915,0.352484,0.470447,9.896847,-0.162757,23.0,0.914273,10.574276,1.0,54.625,0.7025,1
3.866047,20.600413,12.0,0.0,0.420319,0.059903,0.054357,3.530843,1.0,0.0,0.830438,10.401029,0.0,0.0,0.0258,0
2.38152,15.605881,12.0,0.0,0.363761,0.061379,0.025071,9.216609,1.0,0.0,0.792055,11.271958,0.0,0.0,0.0219,0
3.40023,21.933907,12.0,0.0,0.446676,0.055037,0.065407,0.911084,1.0,0.0,0.643912,11.29207,0.0,0.0,0.0257,0
2.984723,5.416984,12.0,0.0,0.101588,0.176364,0.087877,-29.392918,1.0,0.0,0.922566,10.404235,0.0,0.0,0.2227,0
3.358901,17.428845,12.0,0.02375,0.399942,0.164816,0.094153,27.105147,1.0,0.0,0.989087,10.826588,0.0,0.0,0.0273,0
4.032742,12.51749,3.879143,0.094304,0.365818,0.053885,0.020709,-8.026285,1.0,0.0,0.924283,10.641539,0.0,0.0,0.048,0
4.244891,28.786156,12.0,0.0,0.515068,0.094266,0.106904,7.171208,1.0,0.0,0.966454,10.423323,0.0,0.0,0.0269,0
0.009975,0.009975,12.0,0.0,-0.053184,0.338566,0.066827,-22.550504,1.0,0.0,0.996929,10.237917,0.0,0.0,0.8579,1
1.591831,13.404636,12.0,0.017607,0.363295,0.678034,0.770973,-34.825351,1.0,0.0,0.892298,11.28988,0.0,0.0,0.4724,0
1.964753,2.94632,1.356677,0.120871,0.163982,0.079307,0.059706,-6.68442,1.0,0.0,0.932821,12.097342,0.0,0.0,0.0405,0
2.55413,10.275887,12.0,0.0,0.251382,0.322032,0.076831,-9.978035,1.0,0.0,0.982532,10.573862,0.0,0.0,0.0635,0
-1.830873,-1.830873,12.0,0.0,-0.183535,0.215443,0.055212,-36.323091,1.0,8.0,0.880117,10.484638,0.0,0.0,0.6855,1
-2.642424,-2.642424,-0.844395,0.195285,-0.164897,0.210375,0.061009,-31.515838,1.0,8.0,0.688921,10.537441,0.0,0.0,0.9024,1
1.51457,24.307427,12.0,0.0,0.487418,0.713393,0.034559,-3.517654,1.0,0.0,0.998624,9.76546,0.0,0.0,0.0733,1
1.902298,7.392097,2.390901,0.151681,0.362653,0.597728,0.051966,11.509289,1.0,0.0,0.998818,10.787677,0.0,0.0,0.0638,0
1.464334,10.277108,12.0,0.0,0.259671,0.727766,0.07911,4.900614,1.0,0.0,0.992466,11.271867,0.0,0.0,0.0275,0
3.975756,6.071207,2.477789,0.05201,0.128869,0.579049,0.069633,3.240074,1.0,0.0,0.99957,10.843991,0.0,0.0,0.0271,0
1.794892,3.069729,2.116296,0.046977,0.099416,0.042087,0.045209,-3.419895,1.0,0.0,0.945379,10.998751,0.0,0.0,0.042,0
0.326341,10.838056,12.0,0.0,0.294023,0.727589,0.048525,10.969795,1.0,0.0,0.993318,10.508831,0.0,0.0,0.0845,0
-0.873436,-0.833819,0.752211,0.235122,0.176862,0.709569,0.09426,-47.986888,1.0,5.0,0.988638,9.82355,0.0,0.0,0.9991,1
-0.452557,2.860409,12.0,0.0,0.045004,0.452709,0.517383,-15.298364,0.095688,1.0,0.798415,10.084174,1.0,55.12,0.2108,0
1.765224,13.250559,12.0,0.0,0.331109,0.141027,0.0643,21.21473,1.0,0.0,0.941224,11.134576,0.0,0.0,0.0286,0
0.212545,8.616533,12.0,0.0,0.236124,0.724563,0.05179,2.255123,1.0,0.0,0.998779,11.114457,0.0,0.0,0.0528,0
1.164651,30.322468,12.0,0.0,0.557178,0.113388,0.097108,15.890829,1.0,0.0,0.919214,11.102667,0.0,0.0,0.2337,1
1.649316,11.592849,12.0,0.0,0.301862,0.301192,0.057289,-11.70272,1.0,0.0,0.999361,11.178729,0.0,0.0,0.2602,0
0.543623,2.694632,12.0,0.0,0.084722,0.032635,0.023761,4.283788,1.0,0.0,0.962342,11.756825,0.0,0.0,0.2293,0
4.196465,16.314833,12.0,0.0,0.37374,0.992826,0.701041,-103.86433,1.0,0.0,0.904245,10.444492,0.0,0.0,0.7121,1
